frame,energy,moves
0,-7,2003133330202030221200000303112113030313311221311
1,-8,1130000003312111331221313312121113300311311202112
2,-9,0211331222122113122133111213303331221311221202033
3,-9,2133003111331222131220200202113112022021133122133
4,-10,0020333022220212133122221213131300203311133020300
5,-10,1330202000021200222113031121113131221333033121131
6,-10,3121120021213131303033121213303030203030002112200
7,-10,3122120021213131303033031113311330203030002112221
8,-10,3133020331331213121111122120033002030021212131220
9,-10,0330202120033313313121130333111121313000330311303
10,-10,1330202200021200222113031122213313121330033121331
11,-10,3313031122133300311300000302211202122002120212131
12,-10,2213331211211212213313302033303331303112113122133
13,-10,3302202122113312211330300333311333312133130020022
14,-10,0313002220302030313113312113122120212022003002030
15,-10,2203020331333122133133133031121213303131221202111
16,-10,1133020300311113121222020002111213312212220330200
17,-10,2003130030302212020303031130331133020303113121112
18,-10,3111202113113003331333312113112200002122212131300
19,-10,3003113000302212003033131130303130020303113121331
20,-10,1120211112122030022020331330202203020331131303020
21,-10,3112021122022131222133330311122111121330300311303
22,-10,0313002220302030313113312113331220212022003002030
23,-10,1311202113113003113333312113112020002121122131303
24,-10,0003113000302212200000031130303330020303113121121
25,-10,0130020331331221133131120211313313300313311202123
26,-10,3003113000302212203300031130313330020303113121122
27,-10,2003131121111300311331120222213331221331222133122
28,-10,0313002220302030313113312113331220212022003002030
29,-10,0313002220302030313113312113331220212022003002030
30,-10,1121331211222221120020333333022203300002211312212
31,-10,1212000211211221202030313002220030220303131303020
32,-10,2212003022211312131131222021133130330311311202021
33,-10,0313002220302030313113312113331220212022003002030
34,-10,0313002220302030313113312113331220212022003002030
35,-10,2003113000302212203003031130333330020303113121322
36,-10,2212003022211312131311212021131130033331311202121
37,-10,3022121331112112111300300313330331211111303020300
38,-10,1120202122022131122133300313033111122133300311303
39,-10,3002121133303020022033311333130030222003133020021
40,-10,2120202122022131122133300313031111122133300311303
41,-10,0333302003133121122133111213300000033113133121200
42,-10,2003113000302212203003031130333330020303113121322
43,-10,1121331311220021221212003033002212120030221200212
44,-10,0130020331331221133131120211313313300313311202123
45,-10,3000020331133020003020031313300200313002202112131
46,-10,0313002220302030313113312113331220212022003002030
47,-10,0313002220302030313113312113331220212022003002030
48,-10,2003113000302212203003031130333330020303113121322
49,-10,2033303112211303333300313031122221131222030221110
50,-10,2033130003113030313312120211222131221312111300311
51,-10,2003113000302212203003031130333330020303113121322
52,-10,2212003022113312131131212021133120033331311202121
53,-10,2003113000302212203003031130333330020303113121322
54,-10,3021121311112112111300300300300331211130303020303
55,-10,1311202113113003313331312113112000002122222131300
56,-10,2033113033333130313312120222221331221311211303112
57,-10,0313002220302030313113312113331220212022003002030
58,-10,3113333122133300313300220302211202122003020212130
59,-10,2131212111122030222020331330202203020331131300020
60,-10,0313002220302030313113312113331220212022003002030
61,-10,2003113000302212203003031130333330020303113121322
62,-10,3022121312122112111300300300303331211130303020303
63,-10,2113302003133121122133111213300000031311113121202
64,-10,0131333122133300313300220302211202120000020211230
65,-10,0131333122133300313300220302211202120030300212022
66,-10,3021121311112112111300300300303331211130303020303
67,-10,3113333122133300313300220302211202122000300212022
68,-10,1311202113113003313331312113112000002122222131300
69,-10,2212003022113312131131212021133120033131311202021
70,-10,2031303112211303333300313031122221131222030221110
71,-10,1002200212222131122133300313312221122133300311303
72,-10,3121333111220021200200300330222202121333121202120
73,-10,2212003022113312131131212021133120033331311202121
74,-10,3021202311112112111300300300303331211130303020033
75,-10,0002212111122030222020331330202203020331131300002
76,-10,1311202113113003313331312113112000002122222131300
77,-10,2131212111122030222020331330202203020331131300000
78,-10,1131211111122030222020331330202203020331131300021
79,-10,0001333122133300313300220302211202120000020211230
80,-10,2033113030333130333312120222221331213311131300312
81,-10,3110303131112002122211200200031300030222213312221
82,-10,1131212111122030222020331330202203020331131300200
83,-10,2033113030333130333312120222221331213311131300312
84,-10,3121331131220021200200220330222202122022121200220
85,-10,3002121133303020022033111300030330222003133020230
86,-10,0131333122133300313300220302211202120021220212131
87,-10,0311222111330203313130020031330003300311312221133
88,-10,1131211111122030222020331300202203020331131300003
89,-10,0130020331331221133131120211313313300313311202123
90,-10,0031333122133300313300220302211202120021120212133
91,-10,1313121330313312111300300031130331211130303020000
92,-10,2003113000302212203003031130333330020303113121322
93,-10,1002200212022131122133300313312221122133300311303
94,-10,3022202311112112111300300300303331211130303020033
95,-10,1002200212022131122133300313312221122133300311303
96,-10,1131211111122030222020331330202203020331131300002
97,-10,2131212111122030222020331330202203020331131300003
98,-10,2212003022113312131131212021133120033131311202021
99,-10,0130020331331221133131120211313313300313311202123
